图书名称,图书别称,图书链接,图书封面,图书出版信息,图书星数,图书评论数
肖申克的救赎,Different Seasons,http://book.douban.com/subject/1829226/,http://img3.douban.com/lpic/s4007145.jpg,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,32485
华胥引（全二册）,,http://book.douban.com/subject/5916880/,http://img3.douban.com/lpic/s4599550.jpg,唐七公子 / 现代出版社 / 2011-1 / 39.80元,8.6,33555
一个陌生女人的来信,Brief einer Unbekannten,http://book.douban.com/subject/2154960/,http://img3.douban.com/lpic/s10310945.jpg,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,33732
小团圆,,http://book.douban.com/subject/3616310/,http://img3.douban.com/lpic/s4197443.jpg,张爱玲 / 北京十月文艺出版社 / 2009-4 / 28.00,7.6,37239
钢铁是怎样炼成的,How the Steel Was Tempered,http://book.douban.com/subject/1013502/,http://img3.doubanio.com/lpic/s2241708.jpg,[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元,7.6,36554
哭泣的骆驼,,http://book.douban.com/subject/1029111/,http://img3.douban.com/lpic/s1020454.jpg,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,28136
红玫瑰与白玫瑰,,http://book.douban.com/subject/1014278/,http://img3.douban.com/lpic/s3695882.jpg,张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.3,33930
麦田里的守望者,The Catcher in the Rye,http://book.douban.com/subject/2053249/,http://img3.doubanio.com/lpic/s2380159.jpg,[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元,8.1,34826
在路上,On the Road,http://book.douban.com/subject/1917972/,http://img3.doubanio.com/lpic/s2577057.jpg,[美] 杰克·凯鲁亚克 / 王永年 / 上海译文出版社 / 2006-10 / 28.00元,7.8,35458
射雕英雄传（全四册）,,http://book.douban.com/subject/1044547/,http://img3.doubanio.com/lpic/s2157336.jpg,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,8.9,30069
佳期如梦,,http://book.douban.com/subject/1962929/,http://img3.doubanio.com/lpic/s1991548.jpg,匪我思存 / 新世界出版社 / 2007-2 / 20.00元,8.0,34339
此间的少年,,http://book.douban.com/subject/1020459/,http://img3.doubanio.com/lpic/s1068707.jpg,江南 / 华文出版社 / 2004-1 / 25.00元,8.4,33179
货币战争,,http://book.douban.com/subject/2081876/,http://img3.douban.com/lpic/s2533235.jpg,宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元,7.3,36752
一個人住第5年,,http://book.douban.com/subject/1346815/,http://img3.douban.com/lpic/s7059163.jpg,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,8.4,33036
告别薇安,,http://book.douban.com/subject/1016523/,http://img3.douban.com/lpic/s1650313.jpg,安妮宝贝 / 中国社会科学出版社 / 2000-1 / 19.00,7.5,36004
二三事,,http://book.douban.com/subject/1058234/,http://img3.douban.com/lpic/s1157535.jpg,安妮宝贝 / 南海出版公司 / 2004-1 / 20.00元,7.7,34864
时间旅行者的妻子,The Time Traveler´s Wife,http://book.douban.com/subject/2056749/,http://img3.doubanio.com/lpic/s2375756.jpg,[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元,8.1,33560
呐喊,,http://book.douban.com/subject/1449351/,http://img3.douban.com/lpic/s4696893.jpg,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,8.8,31441
常识,,http://book.douban.com/subject/3344676/,http://img3.douban.com/lpic/s3588323.jpg,梁文道 / 广西师范大学出版社 / 2009-1 / 38.00,8.1,32845
明朝那些事儿（叁）, : 妖孽宫廷 ,http://book.douban.com/subject/2052448/,http://img3.douban.com/lpic/s2544553.jpg,当年明月 / 中国友谊出版公司 / 2007-4 / 24.80,8.9,30603
原来你还在这里,,http://book.douban.com/subject/2331434/,http://img3.douban.com/lpic/s3358963.jpg,辛夷坞 / 朝华出版社 / 2007-10 / 25.00元,7.7,33599
步步惊心,,http://book.douban.com/subject/1812439/,http://img3.doubanio.com/lpic/s1681146.jpg,桐华 / 民族出版社 / 2006-6 / 25.00元,8.1,32335
失恋33天, : 小说，或是指南 ,http://book.douban.com/subject/4238754/,http://img3.doubanio.com/lpic/s6980516.jpg,鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元,8.1,32466
兄弟（下）,,http://book.douban.com/subject/1703544/,http://img3.douban.com/lpic/s9109733.jpg,余华 / 上海文艺出版社 / 2006-3 / 27.00元,7.4,34121
半生缘,,http://book.douban.com/subject/1963684/,http://img3.doubanio.com/lpic/s2838737.jpg,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6,30674
挪威的森林,ノルウェイの森,http://book.douban.com/subject/2159042/,http://img3.doubanio.com/lpic/s2897086.jpg,[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,8.4,30935
左手倒影，右手年华。,,http://book.douban.com/subject/1006881/,http://img3.douban.com/lpic/s1068023.jpg,郭敬明 / 上海译文出版社 / 2003-5 / 16.00元,6.7,36400
白鹿原,,http://book.douban.com/subject/1085799/,http://img3.doubanio.com/lpic/s9137567.jpg,陈忠实 / 人民文学出版社 / 1997年 / 28.00元,8.5,30229
零下一度,,http://book.douban.com/subject/1034108/,http://img3.douban.com/lpic/s1028954.jpg,韩寒 / 上海人民出版社 / 2000-08 / 12.00,7.2,34448
鹿鼎记（全五册）,,http://book.douban.com/subject/1212893/,http://img3.douban.com/lpic/s3134040.jpg,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.8,25773
鬼吹灯之精绝古城, : 之精绝古城 ,http://book.douban.com/subject/1882933/,http://img3.doubanio.com/lpic/s2001786.jpg,天下霸唱 / 安徽文艺出版社 / 2006 / 25.0,8.1,31284
像少年啦飞驰,,http://book.douban.com/subject/1009160/,http://img3.doubanio.com/lpic/s1080179.jpg,韩寒 / 作家出版社 / 2002-1 / 16.00元,7.3,33667
机器猫哆啦A梦23,,http://book.douban.com/subject/1204889/,http://img3.doubanio.com/lpic/s2273836.jpg,藤子・F・不二雄 / 碧日 / 吉林美术出版社 / 1999-12-01 / 8.00,9.4,27405
左耳,,http://book.douban.com/subject/1469051/,http://img3.douban.com/lpic/s1520215.jpg,饶雪漫 / 当代世界出版社 / 2006-2 / 22.00元,7.1,33817
被窝是青春的坟墓,,http://book.douban.com/subject/2339950/,http://img3.douban.com/lpic/s3028662.jpg,七堇年 / 长江文艺出版社 / 2007-11 / 22.00元,7.8,31206
明朝那些事儿（肆）, : 粉饰太平 ,http://book.douban.com/subject/2253642/,http://img3.douban.com/lpic/s2699632.jpg,当年明月 / 中国友谊出版公司 / 2007-9 / 24.80,8.8,28288
盗墓笔记2, : 秦岭神树 ,http://book.douban.com/subject/2057285/,http://img3.doubanio.com/lpic/s2376476.jpg,南派三叔 / 中国友谊出版公司 / 2007-4 / 26.80元,8.2,29665
关于莉莉周的一切,リリイ・シュシュのすべて,http://book.douban.com/subject/1926700/,http://img3.douban.com/lpic/s1928640.jpg,[日] 岩井俊二 / 张苓 / 天津人民出版社 / 2006-12 / 28.00元,7.7,31258
无人生还,And Then There Were None,http://book.douban.com/subject/3006581/,http://img3.douban.com/lpic/s3004373.jpg,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,8.9,27985
荆棘鸟,The Thorn Birds,http://book.douban.com/subject/1086249/,http://img3.douban.com/lpic/s2781615.jpg,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,8.6,28558
明朝那些事儿（1-9）, : 限量版 ,http://book.douban.com/subject/3674537/,http://img3.douban.com/lpic/s3792001.jpg,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.1,26844
孤独六讲,,http://book.douban.com/subject/4124727/,http://img3.douban.com/lpic/s4075572.jpg,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,8.2,29351
水仙已乘鲤鱼去,,http://book.douban.com/subject/1018153/,http://img3.douban.com/lpic/s9060522.jpg,张悦然 / 作家出版社 / 2005-1 / 19.00元,7.8,30020
大地之灯,,http://book.douban.com/subject/1963310/,http://img3.douban.com/lpic/s1994710.jpg,七堇年 / 长江文艺出版社 / 2007-1 / 22.00元,8.2,28916
我们台湾这些年, : 一个台湾青年写给13亿大陆同胞的一封家书 ,http://book.douban.com/subject/4113090/,http://img3.doubanio.com/lpic/s6088056.jpg,廖信忠 / 重庆出版集团 / 2009-11 / 29.80元,7.4,31282
格林童话全集,,http://book.douban.com/subject/1043008/,http://img3.douban.com/lpic/s1134341.jpg,格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,8.9,27161
寻路中国, : 从乡村到工厂的自驾之旅 ,http://book.douban.com/subject/5414391/,http://img3.doubanio.com/lpic/s4575849.jpg,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9.0,26848
麦琪的礼物, : 欧·亨利短篇小说经典 ,http://book.douban.com/subject/1051193/,http://img3.douban.com/lpic/s1137441.jpg,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.6,27385
动物农场,Animal Farm,http://book.douban.com/subject/2035179/,http://img3.douban.com/lpic/s2347590.jpg,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.2,25531
海贼王, : ONE PIECE ,http://book.douban.com/subject/1474773/,http://img3.doubanio.com/lpic/s1492518.jpg,尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.5,9.5,24606
阿Q正传,,http://book.douban.com/subject/1088065/,http://img3.douban.com/lpic/s1074811.jpg,鲁迅 / 上海书店出版社 / 2003-7-1 / 14.50,8.6,26436
爱你就像爱生命,,http://book.douban.com/subject/3071717/,http://img3.douban.com/lpic/s4661043.jpg,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,26054
明朝那些事儿（伍）, : 帝国飘摇 ,http://book.douban.com/subject/3009821/,http://img3.douban.com/lpic/s2967063.jpg,当年明月 / 中国友谊出版公司 / 2008-3 / 28.80,8.8,25799
历史深处的忧虑, : 近距离看美国之一 ,http://book.douban.com/subject/1027191/,http://img3.doubanio.com/lpic/s1768916.jpg,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,9.0,25491
小时代2.0虚铜时代,,http://book.douban.com/subject/4038164/,http://img3.douban.com/lpic/s4604664.jpg,郭敬明 / 长江文艺出版社 / 2010-1 / 26.80元,6.5,31720
盗墓笔记3, : 云顶天宫 ,http://book.douban.com/subject/2298149/,http://img3.douban.com/lpic/s27274091.jpg,南派三叔 / 中国友谊出版公司 / 2007-11 / 26.80元,8.5,26445
巴别塔之犬,The Dogs of Babel,http://book.douban.com/subject/2139305/,http://img3.douban.com/lpic/s2609483.jpg,[美] 卡罗琳·帕克丝特 / 何致和 / 南海出版公司 / 2007-7 / 22.00元,7.7,28480
1Q84 BOOK 3, : 10月～12月 ,http://book.douban.com/subject/5502995/,http://img3.doubanio.com/lpic/s4577386.jpg,[日] 村上春树 / 施小炜 / 南海出版公司 / 2011-1 / 39.50元,7.6,28523
了不起的盖茨比,The Great Gatsby,http://book.douban.com/subject/1008988/,http://img3.douban.com/lpic/s1005875.jpg,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,8.2,26656
橙, : 陪安东尼度过漫长岁月 Ⅱ ,http://book.douban.com/subject/5327697/,http://img3.douban.com/lpic/s4512594.jpg,安东尼 / 长江文艺出版社 / 2010-10 / 28.80元,8.3,26214
尘埃落定,,http://book.douban.com/subject/1080309/,http://img3.douban.com/lpic/s9140762.jpg,阿来 / 人民文学出版社 / 1990-01-01 / 22.0,8.4,26063
嫌疑人X的献身,,http://book.douban.com/subject/4117922/,http://img3.douban.com/lpic/s4055190.jpg,（日）东野圭吾 / 刘子倩 / 南海出版公司 / 2009年11月 / 19.80元,9.0,24891
我的路,,http://book.douban.com/subject/1431836/,http://img3.douban.com/lpic/s1445665.jpg,寂地 / 北方妇女儿童出版社 / 2004-10 / 20.00元,8.6,25360
你好，旧时光（上 下）,玛丽苏病例报告,http://book.douban.com/subject/4166819/,http://img3.doubanio.com/lpic/s4293097.jpg,八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.8,24833
幻夜, : 东野圭吾作品06 ,http://book.douban.com/subject/4009552/,http://img3.douban.com/lpic/s3960322.jpg,〔日〕东野圭吾 / 李炜 / 南海出版公司 / 2009年9月 / 28.00元,7.6,27843
悲惨世界（上中下）,Les Misérables,http://book.douban.com/subject/1205054/,http://img3.douban.com/lpic/s1148102.jpg,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,8.9,24762
东霓,,http://book.douban.com/subject/4874131/,http://img3.douban.com/lpic/s4397380.jpg,笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元,8.2,26184
蔷薇岛屿,,http://book.douban.com/subject/1063190/,http://img3.douban.com/lpic/s3237601.jpg,安妮宝贝 / 作家出版社 / 2002-8 / 18.00元,8.0,26666
人间失格,人間失格,http://book.douban.com/subject/4011670/,http://img3.doubanio.com/lpic/s6100756.jpg,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元,8.3,26028
草样年华, : 北X大的故事 ,http://book.douban.com/subject/1007334/,http://img3.douban.com/lpic/s1068992.jpg,孙睿 / 远方出版社 / 2004-1 / 19.50元,7.2,28811
香水, : 一个谋杀犯的故事 ,http://book.douban.com/subject/1292416/,http://img3.doubanio.com/lpic/s1556748.jpg,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,8.5,25148
匆匆那年（上下）,,http://book.douban.com/subject/2567919/,http://img3.douban.com/lpic/s2892553.jpg,九夜茴 / 东方出版社 / 2008-1 / 29.00,8.3,25469
当我们谈论爱情时我们在谈论什么,What We Talk About When We Talk About Love,http://book.douban.com/subject/4010969/,http://img3.douban.com/lpic/s4145144.jpg,[美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元,7.8,26333
金锁记,,http://book.douban.com/subject/3017857/,http://img3.douban.com/lpic/s2976745.jpg,张爱玲 / 哈尔滨出版社 / 2005年6月 / 13.5元,8.4,24801
盗墓笔记4, : 蛇沼鬼城 ,http://book.douban.com/subject/3266344/,http://img3.doubanio.com/lpic/s5951677.jpg,南派三叔 / 中国友谊出版公司 / 2008-11 / 32.80元,8.5,24709
往事并不如烟,,http://book.douban.com/subject/1059336/,http://img3.doubanio.com/lpic/s1108667.jpg,章诒和 / 人民文学出版社 / 2004-1 / 35.00元,8.6,24216
看不见的城市,Le città invisibili,http://book.douban.com/subject/1863930/,http://img3.douban.com/lpic/s1804710.jpg,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,8.8,23832
飞鸟集,,http://book.douban.com/subject/1058661/,http://img3.douban.com/lpic/s1044902.jpg,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.8,23601
倾城之恋,,http://book.douban.com/subject/1985223/,http://img3.douban.com/lpic/s4638950.jpg,张爱玲 / 北京十月文艺出版社 / 2006-12 / 29.80元,8.7,23770
骆驼祥子,,http://book.douban.com/subject/1043815/,http://img3.douban.com/lpic/s1192660.jpg,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,8.1,24874
那些年，我们一起追的女孩,,http://book.douban.com/subject/1958227/,http://img3.douban.com/lpic/s1982025.jpg,九把刀 / 花山文艺出版社 / 2007-1 / 20.00元,8.2,24575
梦里花落知多少,,http://book.douban.com/subject/2070844/,http://img3.douban.com/lpic/s2393243.jpg,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8,23331
七夜雪,,http://book.douban.com/subject/1919201/,http://img3.doubanio.com/lpic/s3007857.jpg,沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元,8.5,23882
那些回不去的年少时光,,http://book.douban.com/subject/4231381/,http://img3.douban.com/lpic/s4130990.jpg,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,8.5,23682
黄金时代,,http://book.douban.com/subject/1082406/,http://img3.doubanio.com/lpic/s4083149.jpg,王小波 / 陕西师范大学出版社 / 2009-07-01 / 23.00元,8.8,23323
杜拉拉2华年似水, : 《杜拉拉升职记》第二部 ,http://book.douban.com/subject/3323987/,http://img3.douban.com/lpic/s3476613.jpg,李可 / 陕西师范大学出版社 / 2009-1 / 28.00,7.3,26632
佛祖在一号线,,http://book.douban.com/subject/4872671/,http://img3.doubanio.com/lpic/s4397779.jpg,李海鹏 / 文化艺术出版社 / 2010-6 / 25.00元,8.2,24318
不朽,,http://book.douban.com/subject/2382705/,http://img3.douban.com/lpic/s2868780.jpg,落落 / 长江文艺出版社 / 2007-12 / 22.00,7.7,25571
曾有一个人，爱我如生命,,http://book.douban.com/subject/3506871/,http://img3.doubanio.com/lpic/s3635269.jpg,舒仪 / 中国画报出版社 / 2009-3 / 23.80,7.6,25442
阿狸·梦之城堡,,http://book.douban.com/subject/3554154/,http://img3.douban.com/lpic/s3721175.jpg,hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,9.0,22590
最初的爱情 最后的仪式,First Love, Last Rites,http://book.douban.com/subject/4011440/,http://img3.douban.com/lpic/s3979661.jpg,[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元,8.0,24492
尘埃星球,,http://book.douban.com/subject/1915536/,http://img3.douban.com/lpic/s1944575.jpg,落落 / 长江文艺出版社 / 2009-6 / 22.80元,7.3,26092
谁动了我的奶酪？,Who Moved My Cheese?,http://book.douban.com/subject/1021056/,http://img3.douban.com/lpic/s1035374.jpg,[美] 斯宾塞·约翰逊 / 吴立俊 / 中信出版社 / 2001-9 / 16.80元,7.2,26318
史蒂夫·乔布斯传,Steve Jobs: A Biography,http://book.douban.com/subject/6798611/,http://img3.douban.com/lpic/s6974202.jpg,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.7,22911
长恨歌,,http://book.douban.com/subject/1082349/,http://img3.douban.com/lpic/s3018752.jpg,王安忆 / 南海出版公司 / 2003-8 / 22.00元,8.3,23789
天使与魔鬼,Angels & Demons,http://book.douban.com/subject/1228110/,http://img3.douban.com/lpic/s1914485.jpg,[美] 丹.布朗 / 朱振武 / 人民文学出版社 / 2005-2 / 29.80元,8.2,23939
七龍珠 34, : 超越悟空的戰士 ,http://book.douban.com/subject/1389960/,http://img3.doubanio.com/lpic/s1395309.jpg,鸟山明 / 牟琳 / 東立 / 6.90,9.2,21907
一只特立独行的猪,,http://book.douban.com/subject/1767945/,http://img3.douban.com/lpic/s1670642.jpg,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,8.8,22517
伊豆的舞女,伊豆の踊子,http://book.douban.com/subject/1005521/,http://img3.douban.com/lpic/s1056010.jpg,[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元,8.1,23695
乌合之众, : 大众心理研究 ,http://book.douban.com/subject/1012611/,http://img3.douban.com/lpic/s1988393.jpg,(法)古斯塔夫.勒庞 / 冯克利 / 中央编译出版社 / 1998-01 / 16.00元,8.4,23105
樱桃之远,,http://book.douban.com/subject/1006004/,http://img3.doubanio.com/lpic/s1110226.jpg,张悦然 / 春风文艺出版社 / 2004-01 / 23.00元,7.5,24785
世界尽头与冷酷仙境,世界の終りとハードボイルド・ワンダーランド,http://book.douban.com/subject/1291809/,http://img3.doubanio.com/lpic/s1801057.jpg,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,8.5,22438
倚天屠龙记(共四册),,http://book.douban.com/subject/1070851/,http://img3.doubanio.com/lpic/s1829709.jpg,金庸 / 三联书店 / 1999-04 / 0,8.5,22452
秘密,,http://book.douban.com/subject/3266968/,http://img3.douban.com/lpic/s3331205.jpg,[澳] 朗达·拜恩 / 谢明宪 / 中国城市出版社 / 2008-11 / 32.00,7.3,24674
生活在别处,Život je jinde,http://book.douban.com/subject/1013225/,http://img3.douban.com/lpic/s1069535.jpg,[捷克] 米兰·昆德拉 / 袁筱一 / 上海译文出版社 / 2004-5 / 25.00元,8.3,22516
世界因你不同, : 李开复自传 ,http://book.douban.com/subject/4010196/,http://img3.doubanio.com/lpic/s3994156.jpg,李开复 / 中信出版社 / 2009 / 29.80元,8.1,22847
傲慢与偏见,Pride and Prejudice,http://book.douban.com/subject/1401841/,http://img3.doubanio.com/lpic/s27017338.jpg,[英] 奥斯丁 / 王科一 / 上海译文出版社 / 1996-12 / 11.00元,9.0,21228
明朝那些事儿（柒）：大结局,,http://book.douban.com/subject/3626924/,http://img3.douban.com/lpic/s4536142.jpg,当年明月 / 中国海关出版社 / 2009年 / 29.80元,9.0,21219
光荣日（第一季）,,http://book.douban.com/subject/2133556/,http://img3.douban.com/lpic/s2567655.jpg,韩寒 / 二十一世纪出版社 / 2007-6 / 21.00元,6.9,25564
ZOO,,http://book.douban.com/subject/2297697/,http://img3.doubanio.com/lpic/s2756239.jpg,[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元,8.6,21823
原来你非不快乐,,http://book.douban.com/subject/3311009/,http://img3.douban.com/lpic/s3374765.jpg,林夕 / 广西师范大学出版社 / 2008-12 / 23.80元,7.2,24436
明朝那些事儿（陆）, : 日暮西山 ,http://book.douban.com/subject/3274113/,http://img3.douban.com/lpic/s4428711.jpg,当年明月 / 中国海关出版社 / 2008-11 / 28.80,8.9,21184
死亡筆記 1, : 无聊 ,http://book.douban.com/subject/2064977/,http://img3.doubanio.com/lpic/s1638608.jpg,大場鶇 / 陈欣智 / 文化傳信 / 2004年 / HKD 30,8.9,21088
失落的秘符,The Lost Symbol,http://book.douban.com/subject/4171951/,http://img3.doubanio.com/lpic/s4113637.jpg,[美] 丹·布朗 / 朱振武 / 人民文学出版社 / 2010-1 / 38.00元,7.5,23605
菊与刀, : 日本文化的类型 ,http://book.douban.com/subject/1022238/,http://img3.doubanio.com/lpic/s1074166.jpg,（美）鲁思・本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00,8.2,22207
球状闪电,,http://book.douban.com/subject/1192090/,http://img3.douban.com/lpic/s26040205.jpg,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7,21275
一个陌生女子的来信,,http://book.douban.com/subject/1159939/,http://img3.douban.com/lpic/s1119643.jpg,[奥] 茨威格 / 李政 / 中国社会科学出版社 / 2004-5 / 20.00元,8.5,21504
偷书贼,The Book Thief,http://book.douban.com/subject/2180619/,http://img3.douban.com/lpic/s2686452.jpg,[澳] 马克斯·苏萨克 / 孙张静 / 南海出版公司 / 2007-8 / 25.00元,8.0,22442
澜本嫁衣,,http://book.douban.com/subject/3290010/,http://img3.doubanio.com/lpic/s3335378.jpg,七堇年 / 长江文艺出版社 / 2008-12 / 19.80,7.0,24531
盗墓笔记6, : 阴山古楼 ,http://book.douban.com/subject/4173968/,http://img3.doubanio.com/lpic/s6098009.jpg,南派三叔 / 中国友谊出版公司 / 2010-1 / 32.80元,8.5,21457
心是孤独的猎手,The Heart Is a Lonely Hunter,http://book.douban.com/subject/1424741/,http://img3.doubanio.com/lpic/s1436379.jpg,[美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元,8.5,21403
盗墓笔记5, : 谜海归巢 ,http://book.douban.com/subject/3800166/,http://img3.doubanio.com/lpic/s6033216.jpg,南派三叔 / 中国友谊出版公司 / 2009-7 / 32.80元,8.5,21367
我执,,http://book.douban.com/subject/3642673/,http://img3.doubanio.com/lpic/s3705488.jpg,梁文道 / 广西师范大学出版社 / 2010-10 / 35.00元,8.0,22095
红与黑,,http://book.douban.com/subject/1007433/,http://img3.douban.com/lpic/s1988674.jpg,司汤达 / 郭宏安 / 译林出版社 / 1993-7-1 / 20.00,8.1,21971
偷影子的人,Le voleur d'ombres,http://book.douban.com/subject/10763902/,http://img3.doubanio.com/lpic/s10339418.jpg,(法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元,8.0,22246
冰与火之歌（卷一）, : 权力的游戏 ,http://book.douban.com/subject/1336330/,http://img3.douban.com/lpic/s1358984.jpg,[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元,9.3,19891
